Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-4.49E-04,-0.476,-0.34
-4.49E-04,-0.476,-0.5
-4.48E-04,-0.468,-0.42
-4.48E-04,-0.476,-0.42
-4.48E-04,-0.468,-0.5
-4.48E-04,-0.48,-0.42
-4.48E-04,-0.484,-0.38
-4.48E-04,-0.488,-0.42
-4.48E-04,-0.48,-0.42
-4.48E-04,-0.484,-0.5
-4.48E-04,-0.488,-0.42
-4.48E-04,-0.488,-0.5
-4.47E-04,-0.496,-0.5
-4.47E-04,-0.488,-0.34
-4.47E-04,-0.48,-0.42
-4.47E-04,-0.488,-0.46
-4.47E-04,-0.476,-0.38
-4.47E-04,-0.488,-0.38
-4.47E-04,-0.5,-0.46
-4.47E-04,-0.492,-0.5
-4.47E-04,-0.504,-0.38
-4.47E-04,-0.504,-0.42
-4.46E-04,-0.504,-0.46
-4.46E-04,-0.508,-0.38
-4.46E-04,-0.504,-0.46
-4.46E-04,-0.516,-0.42
-4.46E-04,-0.512,-0.38
-4.46E-04,-0.512,-0.34
-4.46E-04,-0.516,-0.46
-4.46E-04,-0.524,-0.5
-4.46E-04,-0.516,-0.42
-4.46E-04,-0.52,-0.46
-4.45E-04,-0.524,-0.5
-4.45E-04,-0.52,-0.46
-4.45E-04,-0.524,-0.5
-4.45E-04,-0.524,-0.42
-4.45E-04,-0.528,-0.42
-4.45E-04,-0.524,-0.46
-4.45E-04,-0.532,-0.38
-4.45E-04,-0.528,-0.54
-4.45E-04,-0.528,-0.5
-4.45E-04,-0.536,-0.5
-4.44E-04,-0.536,-0.58
-4.44E-04,-0.532,-0.46
-4.44E-04,-0.532,-0.42
-4.44E-04,-0.548,-0.42
