Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Label,,
TIME,CH1,CH2
-8.568e-03,0.03,0.06
-8.566e-03,0.03,0.06
-8.564e-03,0.03,0.06
-8.562e-03,0.01,0.1
-8.560e-03,0.03,0.06
-8.558e-03,0.05,0.06
-8.556e-03,0.05,0.1
-8.554e-03,0.03,0.06
-8.552e-03,0.05,0.06
-8.550e-03,0.05,0.06
-8.548e-03,0.03,0.06
-8.546e-03,0.03,0.1
-8.544e-03,0.03,0.06
-8.542e-03,0.07,0.06
-8.540e-03,0.09,0.06
-8.538e-03,0.05,0.06
-8.536e-03,0.07,0.06
-8.534e-03,0.09,0.06
-8.532e-03,0.11,0.06
-8.530e-03,0.05,0.06
-8.528e-03,0.09,0.02
-8.526e-03,0.09,0.06
-8.524e-03,0.11,0.06
-8.522e-03,0.09,0.1
-8.520e-03,0.13,0.1
-8.518e-03,0.09,0.06
-8.516e-03,0.13,0.1
-8.514e-03,0.13,0.06
-8.512e-03,0.09,0.06
-8.510e-03,0.11,0.02
-8.508e-03,0.15,0.06
-8.506e-03,0.11,0.06
-8.504e-03,0.13,0.06
-8.502e-03,0.17,0.06
-8.500e-03,0.11,0.06
-8.498e-03,0.09,0.02
-8.496e-03,0.11,0.02
-8.494e-03,0.17,0.1
-8.492e-03,0.15,0.14
-8.490e-03,0.15,0.06
-8.488e-03,0.15,0.06
-8.486e-03,0.15,0.06
-8.484e-03,0.17,0.06
-8.482e-03,0.15,0.06
-8.480e-03,0.11,0.06
-8.478e-03,0.17,0.06
-8.476e-03,0.17,0.06
-8.474e-03,0.15,0.06
-8.472e-03,0.15,0.06
-8.470e-03,0.17,0.06
-8.468e-03,0.17,0.02
-8.466e-03,0.19,0.06
-8.464e-03,0.17,0.1
-8.462e-03,0.21,0.1
-8.460e-03,0.17,0.06
-8.458e-03,0.21,0.06
-8.456e-03,0.19,0.06
-8.454e-03,0.23,0.06
-8.452e-03,0.17,0.1
-8.450e-03,0.17,0.1
-8.448e-03,0.19,0.06
-8.446e-03,0.25,0.06
-8.444e-03,0.23,0.06
-8.442e-03,0.25,0.06
-8.440e-03,0.21,0.06
-8.438e-03,0.19,0.06
-8.436e-03,0.27,0.1
-8.434e-03,0.21,0.06
-8.432e-03,0.25,0.02
